Date,Polarity
2024-08-08 15:39:42,0.0
2024-08-11 11:33:52,0.059
2024-08-18 11:10:42,0.132
2024-08-23 09:22:15,0.0
2024-08-24 11:02:12,0.247
2024-08-27 09:21:24,-0.125
2024-09-08 11:48:23,-0.162
2024-09-12 21:46:08,-0.093
2024-09-18 03:48:03,0.0
2024-10-18 11:41:16,0.052
2024-10-23 11:47:02,-0.219
2024-10-30 10:16:49,0.145
2024-11-09 16:45:15,0.0
2024-11-14 16:30:54,-0.01
2024-11-18 17:09:57,0.333
2024-11-22 11:29:22,0.5
2024-11-24 22:26:48,0.101
2024-11-29 17:51:59,0.039
2024-12-01 18:16:20,0.098
2024-12-02 10:24:51,0.0
2024-12-06 09:08:11,-0.102
2024-12-10 16:12:23,0.0
2024-12-13 20:08:17,0.0
2024-12-14 17:44:10,0.329
2024-12-16 08:39:16,-0.143
2024-12-19 14:52:03,0.4
2024-12-20 16:52:18,0.483
2024-12-24 23:17:09,-0.25
2025-01-10 17:24:41,0.0
2025-01-22 20:09:55,-0.032
2025-01-23 15:23:02,0.0
2025-01-24 09:06:59,0.0
2025-01-27 03:40:42,-0.075
2025-01-27 05:40:06,0.037
2025-01-27 07:09:05,0.0
2025-01-27 17:18:07,0.115
2025-01-28 12:27:18,0.5
2025-02-01 18:24:37,-0.125
2025-02-02 13:50:59,0.082
2025-02-03 16:07:06,-0.2
2025-02-04 14:37:40,0.0
2025-02-05 07:34:16,0.0
2025-02-07 00:47:16,0.283
2025-02-07 10:41:24,-0.125
2025-02-15 15:10:35,-0.167
2025-03-05 07:06:08,0.075
2025-03-07 08:47:49,0.0
2025-03-22 13:25:36,0.081
2025-03-31 12:19:38,0.0
2025-04-03 10:46:42,0.25
2025-04-04 08:45:12,0.127
2025-04-09 16:39:54,-0.036
2025-04-09 18:22:21,0.011
2025-04-12 12:51:25,0.031
2025-04-14 02:18:27,0.2
2025-04-14 18:34:16,0.6
2025-04-16 02:20:24,0.092
2025-04-16 19:06:35,-0.123
2025-04-22 09:28:04,0.105
2025-04-23 13:24:47,0.01
2025-04-27 14:34:27,-0.003
2025-04-30 11:53:42,0.068
2025-04-30 15:57:32,0.225
2025-05-01 10:11:23,0.082
2025-05-12 13:36:55,-0.037
2025-05-14 05:17:17,0.094
2025-05-14 12:26:52,0.074
2025-05-14 12:28:46,0.6
2025-05-18 13:03:34,0.139
2025-05-21 01:33:15,-0.134
2025-05-28 15:46:07,-0.028
2025-06-01 12:51:09,0.071
2025-06-12 13:01:36,-0.3
